Director,Client,Title,Thumbnail,Video
Ariel Martin,Vodafone,Double Coverage,directors/ariel_martin/posters/Vodafone.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/Vodafone_DoubleCoverage.mp4
Ariel Martin,BALTER,Beers Do Come True,directors/ariel_martin/posters/BALTER_BeersDoComeTrue_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/BALTER_BeersDoComeTrue.mp4
Ariel Martin,MAS,The Overthinker,directors/ariel_martin/posters/MAS_TheOverthinkermp4_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/MAS_TheOverthinkermp4.mp4
Ariel Martin,Kia,The Ute,directors/ariel_martin/posters/KIA_TheUte_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/KIA_TheUte.mp4
Ariel Martin,WA Police,Let's Join The Forces,directors/ariel_martin/posters/WAPOLICE-LetsJoinTheForces_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/WAPOLICE-LetsJoinTheForces.mp4
Ariel Martin,Prime,Cricket World Cup,directors/ariel_martin/posters/Prime_CricketWorldCup_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/Prime_CricketWorldCup.mp4
Ariel Martin,GWM,Out There Awaits,directors/ariel_martin/posters/GWM_OutThereAwaits_optimized.jpg,https://cousin-productions.s3.ap-southeast-2.amazonaws.com/GWM_OutThereAwaits.mp4
