Director,Client,Title,Thumbnail,Video
Ariel Martin,Vodafone,Double Coverage,Ariel_Martin/Vodafone_DoubleCoverage_optimized.png,Ariel_Martin/Vodafone_DoubleCoverage.mp4
Ariel Martin,BALTER,Beers Do Come True,Ariel_Martin/BALTER_BeersDoComeTrue_optimized.png,Ariel_Martin/BALTER_BeersDoComeTrue.mp4
Ariel Martin,MAS,The Overthinker,Ariel_Martin/MAS_TheOverthinkermp4_optimized.png,Ariel_Martin/MAS_TheOverthinkermp4.mp4
Ariel Martin,Kia,The Ute,Ariel_Martin/KIA_TheUte_optimized.png,Ariel_Martin/KIA_TheUte.mp4
Ariel Martin,WA Police,Let's Join The Forces,Ariel_Martin/WAPOLICE-LetsJoinTheForces_optimized.png,Ariel_Martin/WAPOLICE-LetsJoinTheForces.mp4
Ariel Martin,Prime,Cricket World Cup,Ariel_Martin/Prime_CricketWorldCup_optimized.png,Ariel_Martin/Prime_CricketWorldCup.mp4
Ariel Martin,GWM,Out There Awaits,Ariel_Martin/GWM_OutThereAwaits_optimized.png,Ariel_Martin/GWM_OutThereAwaits.mp4
